"","Airport.Code","Airport.Name","chanceOfReturn","airportAvgReturn","chanceOfClaimRequired","MarkScore"
"1","ABE","Lehigh Valley International Airport, Allentown",0.625,0.793579823874742,1.65340130084527e-05,0.495979189259757
"2","ABQ","Albuquerque International Sunport Airport",0.520775623268698,0.824328103546737,1.49716722643637e-05,0.42928355471354
"3","ALB","Albany International",0.468948035487959,0.770309766589532,3.17038051137794e-05,0.361223799227327
"4","ANC","Ted Stevens Anchorage International Airport",0.491761723700887,0.80797740324369,2.66313562915248e-05,0.397321779030825
"5","ATL","Hartsfield-Jackson Atlanta International Airport",0.410805028082375,0.776675828189497,5.49882351624e-06,0.319060580942815
"6","AUS","Austin-Bergstrom International Airport",0.533884297520661,0.794060042996708,1.06370249145291e-05,0.423931678824727
"7","BDL","Bradley International Airport",0.547707558859975,0.787139229187865,1.77324341997265e-05,0.431114460857036
"8","BHM","Birmingham International Airport",0.461538461538462,0.828124352758082,8.04095505825169e-06,0.382208166391098
"9","BNA","Nashville International",0.501219512195122,0.801602907356128,1.08765883013918e-05,0.401774648214261
"10","BOS","Boston (Logan) International Airport",0.428050263477908,0.788864356484015,1.30869629063729e-05,0.337669176519493
"11","BTV","Burlington, VT",0.413502109704641,0.777174617241251,1.89517198099592e-05,0.321357253450105
"12","BUF","Buffalo Niagara International",0.506920415224913,0.804873693597186,1.47628582401249e-05,0.408000883613767
"13","BWI","Baltimore/Washington Intl Thurgood Marshall",0.529411764705882,0.790023006892395,1.37758495581396e-05,0.418241712522867
"14","BZN","Gallatin Field",0.563758389261745,0.776197592934029,4.08570127616633e-05,0.437570026206723
"15","CAK","Akron-Canton Regional",0.538461538461538,0.801194191207432,1.84195136327425e-05,0.431404310400056
"16","CHS","Charleston International",0.291666666666667,0.778562632104004,7.06576051927944e-06,0.227079163198678
"17","CLE","Cleveland Hopkins International",0.542889390519187,0.790013887653273,1.21911118735475e-05,0.428884929321882
"18","CLT","Charlotte/Douglas International Airport",0.456521739130435,0.769784704437011,5.14795415544512e-06,0.351421642913772
"19","CMH","Port Columbus International",0.439856373429084,0.819282348292658,9.55661678245437e-06,0.360363118649333
"20","COS","Colorado Springs Municipal",0.431893687707641,0.788362293678205,4.10951867262547e-05,0.340474705819701
"21","CVG","Cincinnati/Northern Kentucky International",0.539112050739958,0.810181945860352,7.95540286898504e-06,0.436775375553545
"22","DAL","Dallas Love Field",0.46064139941691,0.809173331503733,5.27012267122654e-06,0.37273677141586
"23","DAY","James M. Cox Dayton International",0.481132075471698,0.808362862586182,9.82996054809874e-06,0.38892547865064
"24","DCA","Ronald Reagan Washington National Airport",0.464088397790055,0.809533844913104,8.13276938728924e-06,0.375692209599595
"25","DFW","Dallas-Fort Worth International Airport",0.475136349053577,0.789273978384732,7.94706635460751e-06,0.375009776241454
"26","DSM","Des Moines International",0.504347826086956,0.813611179045137,1.82834219761327e-05,0.410335526956698
"27","DTW","Detroit Metropolitan Wayne County Airport",0.436213991769547,0.780075430573673,9.24247002161344e-06,0.340276672425878
"28","ELP","El Paso International Airport",0.499009900990099,0.815675154208733,1.83841826886772e-05,0.40702249502831
"29","EUG","Eugene Airport/Mahlon Sweet Field",0.5234375,0.762450180119402,2.61132933391925e-05,0.399084594471023
"30","EWR","Newark International Airport",0.452473030734785,0.737500960778198,2.50346491849301e-05,0.333690940848347
"31","FAI","Fairbanks International",0.480263157894737,0.800666044790472,2.45656837588861e-05,0.384520956837883
"32","FAT","Fresno Yosemite International",0.515527950310559,0.755792568913131,2.19315958873443e-05,0.389623648655917
"33","FLL","Ft. Lauderdale-Hollywood International",0.455179630275549,0.783687222897249,1.90119633667895e-05,0.356711678451741
"34","FNT","Bishop International, Flint",0.47979797979798,0.821152198597134,2.36993351075899e-05,0.393977828759699
"35","GEG","Spokane International",0.555008210180624,0.800884154948631,3.21254929163776e-05,0.444483001705796
"36","GRR","Gerald R. Ford International Airport",0.523809523809524,0.840684422527201,1.26860398028382e-05,0.44035292063251
"37","GSO","Piedmont Triad International Airport",0.410112359550562,0.786394532394228,8.12266631131831e-06,0.322507497575793
"38","GSP","Greenville-Spartanburg",0.515789473684211,0.769729530864055,3.39700039584735e-05,0.397004902887299
"39","GTF","Great Falls International",0.576086956521739,0.808456423334582,3.6757948906451e-05,0.465724080708022
"40","HNL","Honolulu International Airport",0.466019417475728,0.796223381209842,1.37151726905808e-05,0.371050467200933
"41","HOU","William P. Hobby",0.50125,0.785525181660862,1.14372146534991e-05,0.393739993967173
"42","IAD","Washington Dulles International",0.402242990654206,0.785905618628432,1.77594660959349e-05,0.316119412197355
"43","IAH","Houston - George Bush Intercontinental Airport",0.400750821210699,0.769480554878397,7.43065171174473e-06,0.308367672883379
"44","ICT","Wichita Mid-Continent",0.504132231404959,0.838092147406865,2.52490556327171e-05,0.422498596435274
"45","IND","Indianapolis International",0.533333333333333,0.784111765541588,1.49824659957117e-05,0.418186676060653
"46","JAX","Jacksonville International",0.426229508196721,0.788667285330019,1.03791703293879e-05,0.33614978016502
"47","JFK","John F. Kennedy International",0.330845771144279,0.744804394818533,2.27554699759244e-05,0.246409777057505
"48","LAS","McCarran International",0.338847689674843,0.775515983571329,8.14882037010823e-06,0.262779657977379
"49","LAX","Los Angeles International Airport",0.427642276422764,0.741782638750559,1.79698104274216e-05,0.317211915905746
"50","LGA","LaGuardia",0.449594046008119,0.748097441736061,1.51889954727606e-05,0.336335046969337
"51","LIT","Little Rock National",0.479166666666667,0.803557139136593,1.16655861111003e-05,0.385033304144721
"52","MCO","Orlando International Airport",0.411394000504159,0.782537520408483,1.47865904350131e-05,0.321926480800041
"53","MDT","Harrisburg International",0.570422535211268,0.776596536354849,1.59820617339099e-05,0.44298108523962
"54","MDW","Midway International Airport",0.383731211317418,0.810337529094926,6.60857794038646e-06,0.310949746666343
"55","MEM","Memphis International Airport",0.451420029895366,0.790980719789398,7.50564533563953e-06,0.357061860174188
"56","MHT","Manchester Regional Airport",0.580827067669173,0.798788384159419,2.05633723985206e-05,0.463948374320132
"57","MIA","Miami International Airport",0.372904707233065,0.776594210053756,2.76223785670016e-05,0.289587637218686
"58","MKE","General Mitchell International Airport",0.509328358208955,0.784380111008248,1.04395726179203e-05,0.399502863468895
"59","MSN","Dane County Regional (Madison)",0.422641509433962,0.816072913703472,1.88893729408882e-05,0.344899772992302
"60","MSP","Minneapolis/ St.Paul International Airport",0.482542173401334,0.80331358815359,1.05452865719537e-05,0.387628597052712
"61","MSY","New Orleans International",0.537644787644788,0.775219257211548,1.66073474238595e-05,0.416785671102258
"62","MYR","Myrtle Beach International",0.419047619047619,0.777860596513695,1.50336936178169e-05,0.325955730527768
"63","OAK","Metropolitan Oakland International",0.483105679367362,0.772432002069479,1.59123231477482e-05,0.373160349182319
"64","OGG","Kahului-Maui, HI",0.365296803652968,0.793852600776903,7.82346046490457e-06,0.289989548895878
"65","OKC","Will Rogers World",0.473988439306358,0.811109067956383,1.22278514473376e-05,0.384451620153097
"66","OMA","Eppley Airfield",0.447470817120623,0.779591319963294,1.65580020187516e-05,0.348838588798421
"67","ORD","Chicago O'Hare International Airport",0.450387751043945,0.784158626918316,1.00842478585201e-05,0.35317187893077
"68","PBI","Palm Beach International",0.523089840470193,0.799891281234927,2.54362197007191e-05,0.418404359798742
"69","PDX","Portland International",0.51717032967033,0.799929253901073,1.64883088791518e-05,0.413692854744918
"70","PHL","Philadelphia International Airport",0.431004110393423,0.769889107922088,1.54947704935568e-05,0.331820228503593
"71","PHX","Phoenix Sky Harbor International",0.482049876678542,0.795806246805178,1.24864999242249e-05,0.383613513082536
"72","PIT","Pittsburgh International Airport",0.496380558428128,0.824575314755769,1.10918299445e-05,0.409298615283525
"73","PVD","TF Green Airport, Providence",0.515274949083503,0.830980399248732,1.22748030808453e-05,0.428178127045572
"74","PWM","Portland International Jetport",0.513636363636364,0.821849681071833,1.89602214553866e-05,0.422123877927482
"75","RAP","Rapid City Regional",0.409448818897638,0.807029685070459,4.45850206334331e-05,0.330422618811303
"76","RDU","Raleigh-Durham International",0.491025641025641,0.799603064746341,1.05959214009809e-05,0.392621447203063
"77","RIC","Richmond International",0.583333333333333,0.780008468919763,2.51505912752092e-05,0.454993496559916
"78","RNO","Reno/Tahoe International",0.471454880294659,0.830832092586127,1.4558451803953e-05,0.391694142211842
"79","SAN","San Diego International",0.465233302836231,0.761069077686062,1.56938174583529e-05,0.354069123915005
"80","SAT","San Antonio International",0.447214076246334,0.811081188655426,1.0736117015776e-05,0.362723030266608
"81","SAV","Savannah International",0.427083333333333,0.743543592825466,1.64660800808594e-05,0.31754984721523
"82","SBA","Santa Barbara Municipal",0.539568345323741,0.852785049392678,2.77881932042677e-05,0.460123031674621
"83","SEA","Seattle-Tacoma International",0.510858324715615,0.792759701758582,1.99267982417451e-05,0.404979823030403
"84","SFB","Orlando Sanford",0.457286432160804,0.855072454451621,3.92313959271708e-05,0.390997691948095
"85","SGF","Springfield-Branson National Airport",0.366279069767442,0.869409626977212,2.33591624399985e-05,0.318439110771395
"86","SHV","Shreveport Regional",0.58273381294964,0.745909672869991,3.38783656568232e-05,0.434652061987173
"87","SJC","Norman Y Mineta San Jose International",0.512107623318386,0.782619487276918,1.62822679922502e-05,0.400778879896655
"88","SLC","Salt Lake City International Airport",0.452894438138479,0.806918954240277,5.79959462313073e-06,0.365446986947267
"89","SMF","Sacramento International Airport",0.474437627811861,0.811973220930409,1.45850457788534e-05,0.385225030178331
"90","SNA","John Wayne",0.502114164904863,0.790139878806537,1.35855367840299e-05,0.396735035473331
"91","STL","Lambert St. Louis International",0.502606882168926,0.818210168571669,7.74441533352843e-06,0.411234876986367
"92","SYR","Syracuse-Hancock International",0.448621553884712,0.784876486890915,1.96917317314303e-05,0.352105575451506
"93","TPA","Tampa International",0.437399678972713,0.787363975145387,1.64152770411197e-05,0.34438709666087
"94","TUL","Tulsa International Airport",0.483695652173913,0.817860733147093,1.50642007666639e-05,0.395589721374261
"95","TUS","Tucson International",0.495755517826825,0.806952895171297,2.04759082872023e-05,0.400043158992741
"96","TYS","Mcghee Tyson ,Knoxville",0.524590163934426,0.762159732653949,1.0103510464711e-05,0.399817459496454
